,type,id,username,text,url,epoch,media,retweetedTweet,retweetedTweetID,retweetedUserID,id_str,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,conversationIdStr,hashtags,mentionedUsers,links,viewCount,quotedTweet,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,location,cash_app_handle,user,0,date
0,tweet-,1.8262376050690703e+18,TheRealMrBigly,Just look RFK is trending higher than Donald Trump. Poor guy loves his attention. Have a great hump day and vote blue up and down the ballot in every election this year !! Now is not the time to return to the Trump Shit Show. DonOld is to old to be president.  #trumpisdone,https://twitter.com/TheRealMrBigly/status/1826237605069070701,1724243949.0,[],False,,,1.8262376050690703e+18,en,Just look RFK is trending higher than Donald Trump. Poor guy loves his attention. Have a great hump day and vote blue up and down the ballot in every election this year !! Now is not the time to return to the Trump Shit Show. DonOld is to old to be president.  #trumpisdone,0.0,0.0,1.0,0.0,1.8262376050690703e+18,1.8262376050690703e+18,"[{'indices': [261, 273], 'text': 'trumpisdone'}]",[],[],"{'count': '41', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 810839799418470400, 'id_str': '810839799418470400', 'url': 'https://twitter.com/Gregory Krawczak', 'username': 'Gregory Krawczak', 'rawDescription': 'Fair Is Fair, All Sports lover but youth sports rule. Proud American and Grandpa', 'created': datetime.datetime(2016, 12, 19, 13, 30, 47, tzinfo=datetime.timezone.utc), 'followersCount': 38, 'friendsCount': 26, 'statusesCount': 4512, 'favouritesCount': 257, 'listedCount': 1, 'mediaCount': 629, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1529882608150138884/DDLRoh7p_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
1,tweet-,1.826237604905509e+18,TwetchSucks,@MarioNawfal Thats a dude for sure!  Why are the lefts families fucking pieces of trash?  Lock um all up in camps i say!!! #Trump2024,https://twitter.com/TwetchSucks/status/1826237604905509343,1724243949.0,[],False,,,1.826237604905509e+18,en,@MarioNawfal Thats a dude for sure!  Why are the lefts families fucking pieces of trash?  Lock um all up in camps i say!!! #Trump2024,1.0,0.0,0.0,0.0,1.826224031919735e+18,1.826224031919735e+18,"[{'indices': [123, 133], 'text': 'Trump2024'}]","[{'id_str': '1319287761048723458', 'name': 'Mario Nawfal', 'screen_name': 'MarioNawfal', 'indices': [0, 12]}]",[],"{'count': '9', 'state': 'EnabledWithCount'}",False,MarioNawfal,1.826224031919736e+18,1.3192877610487237e+18,,,"{'id': 1709181598011199488, 'id_str': '1709181598011199488', 'url': 'https://twitter.com/LIFELONG DEM FOR TRUMP', 'username': 'LIFELONG DEM FOR TRUMP', 'rawDescription': 'life long dem now voting for #Trump2024 and cannot wait until the other brain dead dems are thrown into camps I highly enjoy ruffling peoples feathers on here', 'created': datetime.datetime(2023, 10, 3, 12, 20, 43, tzinfo=datetime.timezone.utc), 'followersCount': 320, 'friendsCount': 1125, 'statusesCount': 4105, 'favouritesCount': 2648, 'listedCount': 6, 'mediaCount': 398, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1709184639074467840/rXe04jY5_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
2,tweet-,1.8262376037814725e+18,annabosch,"2. El 1er día de Convención le tocó a Joe Biden pasar el testigo como candidato a presidente, y a Hillary Clinton, el mazo para que Kamala Harris rompa el dichoso techo de cristal político que en Estados Unidos ella, y otras antes, agrietaron:
https://t.co/KSNGQ1saBY",https://twitter.com/annabosch/status/1826237603781472324,1724243949.0,[],False,,,1.8262376037814725e+18,es,"2. El 1er día de Convención le tocó a Joe Biden pasar el testigo como candidato a presidente, y a Hillary Clinton, el mazo para que Kamala Harris rompa el dichoso techo de cristal político que en Estados Unidos ella, y otras antes, agrietaron:
https://t.co/KSNGQ1saBY",1.0,2.0,13.0,0.0,1.826237601336226e+18,1.826237601336226e+18,[],[],"[{'display_url': 'youtube.com/watch?v=uG6aIR…', 'expanded_url': 'https://www.youtube.com/watch?v=uG6aIR5LvWM', 'url': 'https://t.co/KSNGQ1saBY', 'indices': [244, 267]}]","{'count': '2484', 'state': 'EnabledWithCount'}",False,annabosch,1.826237601336226e+18,16435631.0,,,"{'id': 16435631, 'id_str': '16435631', 'url': 'https://twitter.com/Anna Bosch', 'username': 'Anna Bosch', 'rawDescription': 'Barcelona, Madrid, Lyon, Москва, Washington, London.\nEl año que llegó Putin (Libros Catarata)\nig @laboschb TkTk: @la.bosch', 'created': datetime.datetime(2008, 9, 24, 15, 15, 49, tzinfo=datetime.timezone.utc), 'followersCount': 75978, 'friendsCount': 2000, 'statusesCount': 70565, 'favouritesCount': 44297, 'listedCount': 1684, 'mediaCount': 3801, 'location': 'Spain', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1703518922626981888/veSn4sqY_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
3,tweet-,1.8262376032445972e+18,BKbrgr,"@GOP Racist saying then, racist saying now",https://twitter.com/BKbrgr/status/1826237603244597648,1724243949.0,[],False,,,1.8262376032445972e+18,en,"@GOP Racist saying then, racist saying now",0.0,0.0,0.0,0.0,1.8262239785175168e+18,1.8262239785175168e+18,[],"[{'id_str': '11134252', 'name': 'GOP', 'screen_name': 'GOP', 'indices': [0, 4]}]",[],"{'count': '6', 'state': 'EnabledWithCount'}",False,GOP,1.8262239785175168e+18,11134252.0,,,"{'id': 1325611309703057410, 'id_str': '1325611309703057410', 'url': 'https://twitter.com/Bribri', 'username': 'Bribri', 'rawDescription': '', 'created': datetime.datetime(2020, 11, 9, 1, 29, 29, tzinfo=datetime.timezone.utc), 'followersCount': 250, 'friendsCount': 814, 'statusesCount': 4369, 'favouritesCount': 57311, 'listedCount': 0, 'mediaCount': 109, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1518285833589112834/avX6XTB__normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
4,tweet-,1.826237602913223e+18,J04300521,@Bundeskanzler Du verschwendest UNSER Geld. Nicht deines. Du bist UNSER Angestellter. Und die meisten deutschen sind mittlerweile gegen diese Hilfen. Neben Biden bist du gestanden wie ein kleines Kind als er sagte er werde Nordstream stoppen. Schäm dich !,https://twitter.com/J04300521/status/1826237602913222907,1724243949.0,[],False,,,1.826237602913223e+18,de,@Bundeskanzler Du verschwendest UNSER Geld. Nicht deines. Du bist UNSER Angestellter. Und die meisten deutschen sind mittlerweile gegen diese Hilfen. Neben Biden bist du gestanden wie ein kleines Kind als er sagte er werde Nordstream stoppen. Schäm dich !,0.0,0.0,0.0,0.0,1.8255592164904184e+18,1.8255592164904184e+18,[],"[{'id_str': '1489164711652466688', 'name': 'Bundeskanzler Olaf Scholz', 'screen_name': 'Bundeskanzler', 'indices': [0, 14]}]",[],"{'count': '7', 'state': 'EnabledWithCount'}",False,Bundeskanzler,1.8255592164904184e+18,1.4891647116524667e+18,,,"{'id': 1508817002261008386, 'id_str': '1508817002261008386', 'url': 'https://twitter.com/J', 'username': 'J', 'rawDescription': 'Wasserwerferfahrer zu sein birgt einen hohes Maß an Verantwortung! \nMacht aber richtig Spaß.', 'created': datetime.datetime(2022, 3, 29, 14, 43, 25, tzinfo=datetime.timezone.utc), 'followersCount': 148, 'friendsCount': 73, 'statusesCount': 1508, 'favouritesCount': 1887, 'listedCount': 0, 'mediaCount': 32, 'location': 'Berlin ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1565687474801807360/s0ZS8U2Z_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
5,tweet-,1.8262376028668728e+18,UltraMaga46,Pay attention to what is being done to our grandchildren and beyond! Our interest on debt NOW is unsustainable…. https://t.co/2cPbvFxlgJ,https://twitter.com/UltraMaga46/status/1826237602866872570,1724243949.0,"[{'display_url': 'pic.x.com/2cPbvFxlgJ', 'expanded_url': 'https://x.com/UltraMaga46/status/1826237602866872570/photo/1', 'id_str': '1826237598408269824', 'indices': [113, 136], 'media_key': '3_1826237598408269824', 'media_url_https': 'https://pbs.twimg.com/media/GVgZa4CWYAASLPJ.jpg', 'type': 'photo', 'url': 'https://t.co/2cPbvFxlgJ', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 767, 'w': 1846, 'resize': 'fit'}, 'medium': {'h': 499, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 283, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 767, 'width': 1846, 'focus_rects': [{'x': 191, 'y': 0, 'w': 1370, 'h': 767}, {'x': 493, 'y': 0, 'w': 767, 'h': 767}, {'x': 540, 'y': 0, 'w': 673, 'h': 767}, {'x': 684, 'y': 0, 'w': 384, 'h': 767}, {'x': 0, 'y': 0, 'w': 1846, 'h': 767}]}, 'media_results': {'result': {'media_key': '3_1826237598408269824'}}}]",False,,,1.8262376028668728e+18,en,Pay attention to what is being done to our grandchildren and beyond! Our interest on debt NOW is unsustainable…. https://t.co/2cPbvFxlgJ,0.0,0.0,0.0,0.0,1.8262376028668728e+18,1.8262376028668728e+18,[],[],[],"{'count': '4', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 1520406950160343040, 'id_str': '1520406950160343040', 'url': 'https://twitter.com/Existential Grandma #God #Family #Country', 'username': 'Existential Grandma #God #Family #Country', 'rawDescription': '', 'created': datetime.datetime(2022, 4, 30, 14, 17, 32, tzinfo=datetime.timezone.utc), 'followersCount': 196, 'friendsCount': 228, 'statusesCount': 13292, 'favouritesCount': 8327, 'listedCount': 0, 'mediaCount': 1783, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1522348101390024705/UFTliq1I_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
6,tweet-,1.8262376027790167e+18,GailExpert,"@catturd2 And they earned every cent through hard work.   

We love the American way…success!

We love that anyone can climb the ladder of such success…..

MAGA only wants the rich to be richer.   
And the suckers in middle are brainwashed to enable it",https://twitter.com/GailExpert/status/1826237602779017299,1724243949.0,[],False,,,1.8262376027790167e+18,en,"@catturd2 And they earned every cent through hard work.   

We love the American way…success!

We love that anyone can climb the ladder of such success…..

MAGA only wants the rich to be richer.   
And the suckers in middle are brainwashed to enable it",0.0,0.0,0.0,0.0,1.8260937863105823e+18,1.8260937863105823e+18,[],"[{'id_str': '1043185714437992449', 'name': 'Catturd ™', 'screen_name': 'catturd2', 'indices': [0, 9]}]",[],"{'count': '4', 'state': 'EnabledWithCount'}",False,catturd2,1.8260937863105823e+18,1.0431857144379924e+18,,,"{'id': 1335984097752207360, 'id_str': '1335984097752207360', 'url': 'https://twitter.com/Gail D Cornbread Expert🇺🇸🦅', 'username': 'Gail D Cornbread Expert🇺🇸🦅', 'rawDescription': 'Most problems might be solved by warm cornbread and sweet tea served on a screened porch….', 'created': datetime.datetime(2020, 12, 7, 16, 28, 33, tzinfo=datetime.timezone.utc), 'followersCount': 200, 'friendsCount': 306, 'statusesCount': 19425, 'favouritesCount': 7669, 'listedCount': 1, 'mediaCount': 762, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1335984687148388352/Dj527-eC_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
7,tweet-,1.8262376027497103e+18,LSU_PI,@Hoosiers1986 @catturd2 Last one in the room to approve of Afghanistan withdrawal running out on thousands allies recruited by the USA! Biden should have been immediately impeached! Harris was arm candy with sore knees blackmailing for democrat votes California politicians!,https://twitter.com/LSU_PI/status/1826237602749710572,1724243949.0,[],False,,,1.8262376027497103e+18,en,@Hoosiers1986 @catturd2 Last one in the room to approve of Afghanistan withdrawal running out on thousands allies recruited by the USA! Biden should have been immediately impeached! Harris was arm candy with sore knees blackmailing for democrat votes California politicians!,1.0,0.0,0.0,0.0,1.8260744237258225e+18,1.8260744237258225e+18,[],"[{'id_str': '36715753', 'name': 'Bradley Scott 🙏🇺🇸', 'screen_name': 'Hoosiers1986', 'indices': [0, 13]}, {'id_str': '1043185714437992449', 'name': 'Catturd ™', 'screen_name': 'catturd2', 'indices': [14, 23]}]",[],"{'count': '88', 'state': 'EnabledWithCount'}",False,Hoosiers1986,1.8260755862485568e+18,36715753.0,,,"{'id': 412694263, 'id_str': '412694263', 'url': 'https://twitter.com/LSU-Pi', 'username': 'LSU-Pi', 'rawDescription': 'Conservative from the south, love my country and will defend it!', 'created': datetime.datetime(2011, 11, 15, 1, 28, 51, tzinfo=datetime.timezone.utc), 'followersCount': 503, 'friendsCount': 555, 'statusesCount': 29522, 'favouritesCount': 4827, 'listedCount': 13, 'mediaCount': 56, 'location': 'Ocean Springs, MS', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1070004645421031424/6ubmHZ1h_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
8,tweet-,1.8262376017094612e+18,Thomas030,"When you (Biden/Harris) started to give out free money, raise the minimum wage, raise energy prices etc. 

What the hell do you think corporations are going to do.

The truth behind Harris’ inflation and corporate greed claims https://t.co/PaqNBGOX4z",https://twitter.com/Thomas030/status/1826237601709461797,1724243948.0,[],False,,,1.8262376017094612e+18,en,"When you (Biden/Harris) started to give out free money, raise the minimum wage, raise energy prices etc. 

What the hell do you think corporations are going to do.

The truth behind Harris’ inflation and corporate greed claims https://t.co/PaqNBGOX4z",0.0,0.0,0.0,0.0,1.8262376017094612e+18,1.8262376017094612e+18,[],[],"[{'display_url': 'cnn.com/2024/08/20/eco…', 'expanded_url': 'https://www.cnn.com/2024/08/20/economy/inflation-kamala-harris-corporate-greed/index.html', 'url': 'https://t.co/PaqNBGOX4z', 'indices': [227, 250]}]","{'count': '23', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 27572604, 'id_str': '27572604', 'url': 'https://twitter.com/Thomas Nimeh', 'username': 'Thomas Nimeh', 'rawDescription': 'Sports fanatic, Browns fan at heart. IT manager. Gamer.', 'created': datetime.datetime(2009, 3, 30, 3, 13, 40, tzinfo=datetime.timezone.utc), 'followersCount': 285, 'friendsCount': 635, 'statusesCount': 19333, 'favouritesCount': 1392, 'listedCount': 10, 'mediaCount': 953, 'location': 'ÜT: 41.426496,-81.88167', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/852265004434960390/X3_vKBWm_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
9,tweet-,1.826237600920924e+18,Rabbittgirl,https://t.co/RYJjisV2jZ,https://twitter.com/Rabbittgirl/status/1826237600920924213,1724243948.0,[],False,,,1.826237600920924e+18,zxx,https://t.co/RYJjisV2jZ,0.0,0.0,0.0,0.0,1.826237600920924e+18,1.826237600920924e+18,[],[],"[{'display_url': 'zerohedge.com/news/2024-08-2…', 'expanded_url': 'https://www.zerohedge.com/news/2024-08-20/wsjs-real-story-nord-stream-sabotage-doesnt-add', 'url': 'https://t.co/RYJjisV2jZ', 'indices': [0, 23]}]","{'count': '17', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 97727672, 'id_str': '97727672', 'url': 'https://twitter.com/🍊🇺🇸🚛Ultra MAGA RabbittGirl - 8822MAL 4423 🍌', 'username': '🍊🇺🇸🚛Ultra MAGA RabbittGirl - 8822MAL 4423 🍌', 'rawDescription': 'Conservative because I love my freedom and my God. IFB. Proud to have Hillbilly blood MimiforMAGA on Truth.  Covfefe😄Google IS evil. Never quit. Human.', 'created': datetime.datetime(2009, 12, 18, 19, 1, 58, tzinfo=datetime.timezone.utc), 'followersCount': 10288, 'friendsCount': 11249, 'statusesCount': 260236, 'favouritesCount': 360743, 'listedCount': 0, 'mediaCount': 255, 'location': 'Tallahasssee, Florida', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3727366527/d598c96d422f1ad85daf8995cb639e22_normal.jpeg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
10,tweet-,1.8262375978546097e+18,PeteHendrix5,@mmpadellan He was talking about the Biden/Harris four years.,https://twitter.com/PeteHendrix5/status/1826237597854609541,1724243947.0,[],False,,,1.8262375978546097e+18,en,@mmpadellan He was talking about the Biden/Harris four years.,0.0,0.0,0.0,0.0,1.826095801828881e+18,1.826095801828881e+18,[],"[{'id_str': '1640929196', 'name': 'BrooklynDad_Defiant!☮️', 'screen_name': 'mmpadellan', 'indices': [0, 11]}]",[],"{'count': '3', 'state': 'EnabledWithCount'}",False,mmpadellan,1.8260958018288804e+18,1640929196.0,,,"{'id': 1601394928218685442, 'id_str': '1601394928218685442', 'url': 'https://twitter.com/Pete Hendrix', 'username': 'Pete Hendrix', 'rawDescription': '', 'created': datetime.datetime(2022, 12, 10, 1, 55, 10, tzinfo=datetime.timezone.utc), 'followersCount': 123, 'friendsCount': 122, 'statusesCount': 2159, 'favouritesCount': 739, 'listedCount': 2, 'mediaCount': 118, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1601395066601455618/ExR9vF40_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}",,2024-08-21
