week_start,top_topics,news_top_topic,tweet_topics_sorted,tweets_top_topic,top_10_tweet_topics,news_topics_sorted,news_in_tweet_rank
2024-06-01,"[(-1, 0.5201032), (75, 0.494546), (0, 0.4901898), (15, 0.4610842), (38, 0.4524753), (28, 0.43709385), (50, 0.42263094), (70, 0.42222235), (11, 0.42117223), (77, 0.4128002), (13, 0.412471), (40, 0.41141123), (17, 0.39560446), (62, 0.39429983), (84, 0.39417535), (48, 0.39303303), (1, 0.3871844), (67, 0.38642406), (72, 0.38630974), (19, 0.38582695), (10, 0.38551202), (29, 0.38365465), (4, 0.3814009), (76, 0.3807471), (34, 0.3739223), (52, 0.37308016), (7, 0.37212002), (8, 0.3703038), (71, 0.3679317), (5, 0.3667472), (12, 0.3651589), (37, 0.3637516), (78, 0.3608804), (33, 0.3587168), (3, 0.3557779), (65, 0.3552411), (21, 0.3516217), (16, 0.3510603), (2, 0.3509871), (55, 0.34955052), (42, 0.34935576), (46, 0.34880975), (9, 0.34836864), (14, 0.3460556), (81, 0.3438929), (24, 0.33967268), (45, 0.3386217), (56, 0.33515754), (74, 0.3335322), (57, 0.3334555), (6, 0.32879162), (36, 0.32468885), (43, 0.3244489), (64, 0.31949914), (25, 0.31800434), (68, 0.31529522), (41, 0.31358394), (51, 0.31329086), (22, 0.31026742), (49, 0.30594686), (73, 0.29903418), (23, 0.28864828), (53, 0.28750688), (83, 0.2868298), (63, 0.2811923), (54, 0.27892834), (26, 0.2772001), (30, 0.2712515), (35, 0.26509255), (60, 0.26355475), (47, 0.25925285), (61, 0.25584087), (32, 0.25118518), (31, 0.2510282), (18, 0.24999213), (59, 0.24927253), (82, 0.24914089), (58, 0.24518374), (79, 0.24263762), (69, 0.2373476), (66, 0.23150586), (44, 0.21345538), (80, 0.1967507), (20, 0.12759827), (27, 0.12633114), (39, 0.09470078)]",-1,"[55, 1, 4, 3, 26, 31, 35, 16, 79, 20, 74, 56, 5, 18, 19, 11, 40, 33, 24, 29, 41, 62, 67, 47, 50, 78, 12, 46, 75, 7, 22, 28, 34, 37, 44, 65, 2, 6, 9, 17, 25, 42, 57, 82, 84, 36, 38, 43, 52, 60, 70, 71, 8, 15, 21, 23, 27, 30, 53, 58, 64, 77, 32, 39, 48, 51, 54, 66, 68, 73, 80, 81, 83]",55,"55, 1, 4, 3, 26, 31, 35, 16, 79, 20","[-1, 75, 0, 15, 38, 28, 50, 70, 11, 77, 13, 40, 17, 62, 84, 48, 1, 67, 72, 19, 10, 29, 4, 76, 34, 52, 7, 8, 71, 5, 12, 37, 78, 33, 3, 65, 21, 16, 2, 55, 42, 46, 9, 14, 81, 24, 45, 56, 74, 57, 6, 36, 43, 64, 25, 68, 41, 51, 22, 49, 73, 23, 53, 83, 63, 54, 26, 30, 35, 60, 47, 61, 32, 31, 18, 59, 82, 58, 79, 69, 66, 44, 80, 20, 27, 39]",
2024-06-08,"[(38, 0.4571787), (58, 0.44612607), (0, 0.43518513), (74, 0.42996117), (-1, 0.4208404), (18, 0.41288), (78, 0.40390486), (55, 0.39148718), (36, 0.38104045), (9, 0.37980923), (75, 0.37671286), (43, 0.3674655), (1, 0.35197678), (24, 0.3485524), (84, 0.34344333), (28, 0.3400811), (15, 0.33664572), (81, 0.33649832), (8, 0.32782382), (70, 0.32609338), (3, 0.32021806), (52, 0.31741455), (53, 0.31541342), (41, 0.3118567), (62, 0.30503714), (7, 0.30454367), (71, 0.30383563), (17, 0.30363464), (56, 0.3012177), (11, 0.29956383), (16, 0.29900187), (35, 0.29696453), (22, 0.29644644), (6, 0.29598743), (65, 0.28808153), (51, 0.2829813), (29, 0.28141797), (21, 0.28052354), (14, 0.2794211), (13, 0.2781058), (4, 0.27515075), (26, 0.2712794), (46, 0.27055675), (49, 0.26981962), (5, 0.26880038), (45, 0.26798472), (12, 0.26569828), (19, 0.2614439), (42, 0.25710803), (50, 0.25657415), (76, 0.2549178), (77, 0.25392532), (67, 0.24980035), (48, 0.2473124), (34, 0.24299186), (10, 0.23887607), (63, 0.23731989), (57, 0.23724598), (47, 0.2344656), (2, 0.23185489), (37, 0.22944053), (79, 0.22528778), (83, 0.22377646), (72, 0.21821927), (32, 0.21662474), (68, 0.21474051), (33, 0.21314768), (73, 0.21171433), (54, 0.2095901), (30, 0.2073538), (40, 0.20396647), (80, 0.18938617), (23, 0.18848975), (59, 0.18844241), (31, 0.18625313), (25, 0.18426651), (60, 0.17706195), (61, 0.175679), (69, 0.16966933), (64, 0.16653696), (82, 0.16495398), (66, 0.16474496), (44, 0.11883296), (20, 0.11686596), (39, 0.08413432), (27, 0.025034409)]",38,"[2, 5, 55, 79, 1, 4, 40, 3, 16, 24, 26, 31, 35, 12, 57, 84, 6, 20, 25, 36, 38, 41, 50, 83, 7, 9, 11, 13, 18, 39, 43, 44, 49, 53, 54, 58, 63, 70, 74, 76, 78, 15, 17, 19, 28, 34, 42, 46, 47, 52, 60, 61, 66, 67, 75, 77, 81]",2,"2, 5, 55, 79, 1, 4, 40, 3, 16, 24","[38, 58, 0, 74, -1, 18, 78, 55, 36, 9, 75, 43, 1, 24, 84, 28, 15, 81, 8, 70, 3, 52, 53, 41, 62, 7, 71, 17, 56, 11, 16, 35, 22, 6, 65, 51, 29, 21, 14, 13, 4, 26, 46, 49, 5, 45, 12, 19, 42, 50, 76, 77, 67, 48, 34, 10, 63, 57, 47, 2, 37, 79, 83, 72, 32, 68, 33, 73, 54, 30, 40, 80, 23, 59, 31, 25, 60, 61, 69, 64, 82, 66, 44, 20, 39, 27]",21.0
2024-06-15,"[(4, 0.37268823), (11, 0.3568845), (41, 0.32779747), (36, 0.3253289), (55, 0.3137157), (0, 0.30796677), (24, 0.30105606), (-1, 0.28749633), (74, 0.2874514), (78, 0.2854449), (38, 0.2840312), (32, 0.272073), (28, 0.26880395), (19, 0.26039073), (56, 0.24823801), (81, 0.23831686), (21, 0.2364475), (70, 0.23615992), (15, 0.23419796), (1, 0.23368293), (8, 0.23263147), (26, 0.23214403), (13, 0.23119116), (9, 0.22925963), (79, 0.2268759), (40, 0.225207), (58, 0.22427121), (37, 0.22339173), (50, 0.2227274), (71, 0.22264236), (65, 0.22060287), (10, 0.21610335), (7, 0.21484745), (16, 0.2137397), (17, 0.21279603), (35, 0.21183318), (43, 0.21079288), (45, 0.20747647), (72, 0.20597273), (52, 0.19715755), (77, 0.1947763), (76, 0.19431323), (34, 0.19234292), (2, 0.18503068), (12, 0.18363619), (29, 0.18117452), (57, 0.1810366), (18, 0.1797621), (68, 0.17901187), (53, 0.1786019), (49, 0.17465332), (64, 0.17342257), (75, 0.1725392), (30, 0.1686633), (33, 0.16340679), (62, 0.16269824), (51, 0.16016982), (14, 0.15977457), (60, 0.1582138), (6, 0.15431835), (42, 0.15080795), (73, 0.14833848), (31, 0.14706635), (83, 0.14667584), (59, 0.14561506), (3, 0.1428642), (48, 0.14117752), (47, 0.14086089), (46, 0.1394771), (61, 0.13937306), (25, 0.13935763), (22, 0.13798094), (66, 0.13296507), (5, 0.13111755), (63, 0.12822707), (23, 0.118833125), (80, 0.11439115), (67, 0.11060735), (82, 0.1100814), (54, 0.09862679), (84, 0.08263117), (69, 0.06356996), (44, 0.050447315), (20, 0.039109908), (27, 0.015636003), (39, 0.012626023)]",4,"[40, 35, 5, 2, 3, 4, 16, 31, 24, 55, 46, 34, 21, 36, 1, 20, 42, 47, 77, 6, 11, 33, 81, 17, 19, 84, 26, 37, 58, 64, 25, 28, 79, 7, 18, 38, 44, 50, 9, 78, 12, 15, 27, 43, 76, 57, 72, 22, 32, 60, 74, 83, 30, 62, 65, 75, 39, 41, 45, 54, 61, 10, 23, 52, 63, 68, 71, 82, 8, 53, 56, 66, 67, 73, 80, 29, 59, 70, 13, 14, 48, 51]",40,"40, 35, 5, 2, 3, 4, 16, 31, 24, 55","[4, 11, 41, 36, 55, 0, 24, -1, 74, 78, 38, 32, 28, 19, 56, 81, 21, 70, 15, 1, 8, 26, 13, 9, 79, 40, 58, 37, 50, 71, 65, 10, 7, 16, 17, 35, 43, 45, 72, 52, 77, 76, 34, 2, 12, 29, 57, 18, 68, 53, 49, 64, 75, 30, 33, 62, 51, 14, 60, 6, 42, 73, 31, 83, 59, 3, 48, 47, 46, 61, 25, 22, 66, 5, 63, 23, 80, 67, 82, 54, 84, 69, 44, 20, 27, 39]",6.0
2024-06-22,"[(55, 0.48059952), (74, 0.44787613), (38, 0.38435185), (0, 0.37137836), (58, 0.3705993), (78, 0.36083603), (-1, 0.35740796), (56, 0.3308525), (1, 0.31416354), (17, 0.30965048), (3, 0.30768064), (35, 0.30680048), (70, 0.30335277), (6, 0.30313474), (18, 0.2992118), (43, 0.29796702), (75, 0.29569703), (19, 0.2947539), (2, 0.284779), (11, 0.28431216), (36, 0.2808323), (57, 0.27821082), (16, 0.27730379), (62, 0.27661484), (9, 0.27432948), (24, 0.2732763), (26, 0.27127412), (52, 0.27011168), (41, 0.26819327), (48, 0.2634529), (15, 0.26206818), (53, 0.25964224), (14, 0.25582835), (7, 0.2537793), (12, 0.25083682), (79, 0.24310842), (45, 0.23991227), (5, 0.23733024), (65, 0.23622447), (28, 0.23579693), (8, 0.2321313), (32, 0.22771496), (71, 0.22393242), (64, 0.22354074), (50, 0.22207347), (81, 0.2219165), (22, 0.22074395), (59, 0.21543567), (10, 0.21373849), (4, 0.211833), (34, 0.21098709), (51, 0.20994407), (40, 0.20752849), (77, 0.20206454), (33, 0.20131233), (49, 0.20112331), (13, 0.20075378), (47, 0.20047338), (76, 0.1974515), (21, 0.19621472), (37, 0.18550757), (23, 0.18493), (68, 0.1779093), (29, 0.17688462), (80, 0.17540252), (84, 0.17222232), (83, 0.17103335), (42, 0.16279347), (72, 0.15876746), (31, 0.15780103), (66, 0.15733035), (46, 0.1572178), (54, 0.15687105), (67, 0.15672278), (69, 0.15456307), (63, 0.15231003), (25, 0.14725973), (20, 0.1439949), (30, 0.14368555), (73, 0.13839093), (39, 0.13463524), (61, 0.12972338), (82, 0.12819865), (60, 0.11950205), (27, 0.10100343), (44, 0.08193197)]",55,"[16, 31, 5, 1, 2, 55, 46, 40, 4, 20, 3, 42, 35, 38, 6, 11, 24, 33, 34, 67, 19, 45, 39, 62, 81, 74, 36, 84, 9, 12, 26, 53, 56, 76, 80, 78, 79, 18, 25, 57, 77, 7, 27, 54, 10, 13, 28, 58, 60, 21, 30, 37, 41, 47, 72, 75, 83, 15, 29, 32, 44, 50, 51, 59, 65, 66, 69, 22, 23, 43, 48, 52, 63, 64, 68, 70, 71, 8, 17, 49, 61, 73, 14, 82]",16,"16, 31, 5, 1, 2, 55, 46, 40, 4, 20","[55, 74, 38, 0, 58, 78, -1, 56, 1, 17, 3, 35, 70, 6, 18, 43, 75, 19, 2, 11, 36, 57, 16, 62, 9, 24, 26, 52, 41, 48, 15, 53, 14, 7, 12, 79, 45, 5, 65, 28, 8, 32, 71, 64, 50, 81, 22, 59, 10, 4, 34, 51, 40, 77, 33, 49, 13, 47, 76, 21, 37, 23, 68, 29, 80, 84, 83, 42, 72, 31, 66, 46, 54, 67, 69, 63, 25, 20, 30, 73, 39, 61, 82, 60, 27, 44]",6.0
2024-06-29,"[(0, 0.5568291), (-1, 0.54767716), (5, 0.47575462), (76, 0.44312948), (10, 0.43966222), (8, 0.43922842), (47, 0.43768886), (18, 0.42521402), (63, 0.42488742), (4, 0.4236176), (16, 0.42055455), (48, 0.4172668), (9, 0.41303122), (62, 0.403731), (1, 0.3974559), (37, 0.39627445), (50, 0.39372805), (60, 0.3929507), (45, 0.39181745), (69, 0.3825088), (42, 0.38216648), (59, 0.3779236), (46, 0.37789416), (55, 0.3755386), (25, 0.3691009), (31, 0.36723158), (3, 0.35717776), (51, 0.35372484), (53, 0.35333812), (40, 0.34690416), (7, 0.34614426), (38, 0.34539112), (52, 0.34496346), (33, 0.3441002), (70, 0.34142038), (72, 0.3413006), (43, 0.3378881), (78, 0.3359345), (29, 0.3347885), (12, 0.33227888), (26, 0.32908788), (22, 0.3270904), (79, 0.3247558), (15, 0.32462043), (13, 0.3214911), (80, 0.32047755), (54, 0.31942657), (11, 0.31861153), (35, 0.3152175), (67, 0.31469047), (2, 0.30997014), (28, 0.3096097), (30, 0.3079311), (77, 0.30694306), (6, 0.3057484), (19, 0.30427837), (56, 0.2977482), (49, 0.29671824), (21, 0.2956503), (17, 0.29504576), (74, 0.29040343), (75, 0.2888931), (71, 0.2867318), (73, 0.2802297), (81, 0.28014383), (57, 0.2787578), (82, 0.2784503), (65, 0.2727704), (83, 0.27139336), (41, 0.2680268), (34, 0.26430276), (14, 0.25136715), (24, 0.25068206), (23, 0.24734157), (64, 0.24564695), (58, 0.23979521), (68, 0.23939416), (32, 0.22951913), (84, 0.22495726), (66, 0.21238196), (36, 0.20301294), (61, 0.19185445), (44, 0.17633706), (20, 0.14182085), (39, 0.13181564), (27, 0.09340222)]",0,"[55, 38, 4, 31, 9, 46, 40, 16, 20, 24, 11, 3, 36, 1, 81, 67, 5, 57, 35, 2, 19, 56, 43, 23, 41, 78, 66, 33, 42, 26, 34, 27, 74, 64, 63, 12, 84, 50, 58, 79, 75, 28, 7, 65, 76, 62, 17, 21, 53, 18, 51, 83, 32, 48, 77, 37, 68, 6, 15, 13, 25, 44, 10, 70, 71, 47, 82, 72, 52, 22, 30, 54, 45, 73, 60, 49, 29, 39, 8, 61, 14, 80, 69, 59]",55,"55, 38, 4, 31, 9, 46, 40, 16, 20, 24","[0, -1, 5, 76, 10, 8, 47, 18, 63, 4, 16, 48, 9, 62, 1, 37, 50, 60, 45, 69, 42, 59, 46, 55, 25, 31, 3, 51, 53, 40, 7, 38, 52, 33, 70, 72, 43, 78, 29, 12, 26, 22, 79, 15, 13, 80, 54, 11, 35, 67, 2, 28, 30, 77, 6, 19, 56, 49, 21, 17, 74, 75, 71, 73, 81, 57, 82, 65, 83, 41, 34, 14, 24, 23, 64, 58, 68, 32, 84, 66, 36, 61, 44, 20, 39, 27]",
2024-07-06,"[(38, 0.4797161), (70, 0.4297629), (55, 0.41783643), (78, 0.4140469), (-1, 0.40289983), (58, 0.3984537), (45, 0.39832982), (0, 0.39179593), (12, 0.3897568), (18, 0.3717068), (16, 0.36675578), (84, 0.36597672), (52, 0.35895938), (6, 0.35524353), (9, 0.35452968), (5, 0.35161385), (2, 0.3339333), (81, 0.32946044), (36, 0.32429492), (21, 0.31596252), (77, 0.3123863), (74, 0.30734807), (75, 0.30483758), (22, 0.30210117), (1, 0.30136374), (72, 0.30015865), (3, 0.29929817), (50, 0.292956), (11, 0.28846884), (8, 0.2842728), (43, 0.28233156), (10, 0.2821218), (29, 0.2818725), (33, 0.28071338), (62, 0.28046885), (28, 0.27548766), (67, 0.27406383), (15, 0.273043), (4, 0.27099413), (14, 0.26405042), (7, 0.26280278), (40, 0.25902876), (26, 0.2564425), (73, 0.25092503), (17, 0.24758771), (19, 0.24672726), (41, 0.24647653), (47, 0.24553683), (34, 0.24458328), (82, 0.2419938), (25, 0.2407265), (64, 0.24037793), (35, 0.2391711), (24, 0.2386019), (13, 0.23843358), (69, 0.23569351), (83, 0.2273826), (59, 0.22604273), (76, 0.22573096), (30, 0.22183669), (71, 0.22168389), (56, 0.21447717), (57, 0.21442151), (51, 0.2143189), (46, 0.21113995), (37, 0.20726296), (80, 0.19765127), (48, 0.19758534), (65, 0.19277447), (42, 0.19051312), (49, 0.18648136), (54, 0.18616736), (60, 0.18519613), (79, 0.18027557), (68, 0.1764257), (23, 0.17038146), (31, 0.17012325), (63, 0.16910313), (53, 0.16648513), (44, 0.15542862), (66, 0.13924912), (61, 0.1326581), (32, 0.11196843), (39, 0.07808162), (20, 0.07623085), (27, 0.054308567)]",38,"[4, 9, 31, 1, 46, 55, 38, 70, 40, 16, 11, 20, 24, 36, 67, 5, 3, 35, 81, 34, 43, 78, 2, 63, 66, 48, 19, 42, 12, 62, 41, 23, 74, 33, 26, 27, 58, 7, 57, 75, 65, 32, 50, 84, 21, 10, 37, 76, 18, 8, 25, 53, 13, 79, 6, 77, 15, 44, 28, 68, 17, 51, 64, 83, 56, 72, 69, 22, 71, 54, 82, 47, 45, 80, 49, 60, 29, 30, 52, 61, 73, 39, 14, 59]",4,"4, 9, 31, 1, 46, 55, 38, 70, 40, 16","[38, 70, 55, 78, -1, 58, 45, 0, 12, 18, 16, 84, 52, 6, 9, 5, 2, 81, 36, 21, 77, 74, 75, 22, 1, 72, 3, 50, 11, 8, 43, 10, 29, 33, 62, 28, 67, 15, 4, 14, 7, 40, 26, 73, 17, 19, 41, 47, 34, 82, 25, 64, 35, 24, 13, 69, 83, 59, 76, 30, 71, 56, 57, 51, 46, 37, 80, 48, 65, 42, 49, 54, 60, 79, 68, 23, 31, 63, 53, 44, 66, 61, 32, 39, 20, 27]",7.0
2024-07-13,"[(8, 0.5994122), (45, 0.59144807), (76, 0.42327577), (50, 0.40755498), (63, 0.39847994), (46, 0.39204872), (0, 0.35271645), (-1, 0.34090388), (17, 0.33984214), (1, 0.33398178), (31, 0.3309304), (48, 0.31707382), (12, 0.3068511), (13, 0.30565083), (43, 0.30261213), (54, 0.2938242), (15, 0.28943884), (28, 0.2794375), (19, 0.27732173), (34, 0.26429236), (79, 0.25651854), (51, 0.25365302), (10, 0.2517493), (47, 0.2516511), (25, 0.24834743), (69, 0.2474904), (33, 0.23669016), (83, 0.23541299), (62, 0.23455524), (7, 0.2342337), (9, 0.23001368), (35, 0.22635573), (30, 0.22527057), (66, 0.21821998), (4, 0.21686065), (6, 0.2151269), (56, 0.2146874), (75, 0.21447769), (18, 0.2131224), (59, 0.21146765), (5, 0.20867336), (74, 0.20812795), (2, 0.20698705), (40, 0.20570047), (73, 0.20557678), (16, 0.20443358), (60, 0.20209527), (49, 0.1952439), (80, 0.19288637), (37, 0.18730678), (21, 0.18296129), (77, 0.18107429), (52, 0.18055162), (23, 0.17958699), (14, 0.17841661), (42, 0.17726693), (3, 0.17296754), (67, 0.17180863), (82, 0.17143032), (38, 0.16643144), (26, 0.16517553), (53, 0.16288395), (72, 0.16144781), (61, 0.15798947), (68, 0.15661497), (65, 0.15214108), (29, 0.15155208), (44, 0.13684776), (11, 0.13487259), (24, 0.12132), (22, 0.11911192), (41, 0.11754215), (55, 0.106327206), (81, 0.099475294), (32, 0.09900358), (84, 0.09885371), (36, 0.09123599), (71, 0.07681471), (57, 0.06605341), (58, 0.06497356), (78, 0.058021344), (70, 0.055844903), (20, 0.042577986), (39, 0.03543537), (64, 0.012221601), (27, -0.01738993)]",8,"[1, 11, 8, 40, 46, 3, 55, 4, 16, 31, 38, 2, 24, 19, 42, 29, 36, 5, 13, 9, 35, 77, 84, 48, 51, 74, 81, 7, 23, 26, 62, 63, 65, 12, 17, 20, 50, 53, 70, 71, 75, 79, 6, 18, 28, 37, 39, 41, 43, 52, 56, 57, 66, 67, 68, 69, 72, 78, 80, 10, 15, 21, 25, 33, 45, 59, 76, 83]",1,"1, 11, 8, 40, 46, 3, 55, 4, 16, 31","[8, 45, 76, 50, 63, 46, 0, -1, 17, 1, 31, 48, 12, 13, 43, 54, 15, 28, 19, 34, 79, 51, 10, 47, 25, 69, 33, 83, 62, 7, 9, 35, 30, 66, 4, 6, 56, 75, 18, 59, 5, 74, 2, 40, 73, 16, 60, 49, 80, 37, 21, 77, 52, 23, 14, 42, 3, 67, 82, 38, 26, 53, 72, 61, 68, 65, 29, 44, 11, 24, 22, 41, 55, 81, 32, 84, 36, 71, 57, 58, 78, 70, 20, 39, 64, 27]",3.0
2024-07-20,"[(8, 0.33060658), (62, 0.2921486), (45, 0.2859692), (68, 0.27212936), (16, 0.26450968), (83, 0.25646678), (29, 0.24826255), (-1, 0.23433554), (0, 0.2308918), (66, 0.22761151), (13, 0.22740504), (17, 0.22701213), (43, 0.22649635), (1, 0.21996531), (49, 0.20971787), (50, 0.20685497), (32, 0.2005803), (19, 0.19694065), (14, 0.19099706), (51, 0.18958959), (20, 0.18895166), (42, 0.18735602), (37, 0.18452781), (79, 0.18281165), (76, 0.18254095), (23, 0.1820076), (53, 0.17898116), (24, 0.16733205), (74, 0.16259916), (28, 0.15907945), (6, 0.15829846), (72, 0.15660477), (11, 0.15589961), (71, 0.15522614), (48, 0.15407155), (7, 0.15301809), (69, 0.15067038), (54, 0.15056407), (33, 0.149367), (81, 0.14770848), (80, 0.14728528), (10, 0.14519688), (4, 0.14403978), (36, 0.14377606), (12, 0.14314629), (55, 0.14313576), (57, 0.14300773), (31, 0.14242914), (40, 0.14111584), (2, 0.13939932), (59, 0.13921984), (63, 0.13023731), (3, 0.12764703), (15, 0.12556186), (82, 0.12404264), (73, 0.12322027), (35, 0.12231246), (9, 0.12144641), (5, 0.11904286), (25, 0.114288405), (61, 0.11372851), (64, 0.11295395), (30, 0.11111805), (21, 0.10881351), (41, 0.10818939), (77, 0.10734044), (52, 0.10634227), (34, 0.104529984), (56, 0.10393004), (46, 0.10298385), (44, 0.100828364), (47, 0.10068971), (65, 0.10063192), (26, 0.10058695), (60, 0.09685074), (75, 0.094640836), (38, 0.09336611), (18, 0.09281808), (84, 0.08578178), (39, 0.08350564), (22, 0.0655098), (58, 0.052117877), (27, 0.038933225), (78, 0.032188855), (70, 0.02356181), (67, -0.0090529965)]",8,"[23, 4, 66, 43, 3, 40, 8, 1, 16, 46, 31, 24, 51, 38, 67, 55, 81, 35, 20, 11, 36, 74, 9, 26, 13, 33, 34, 42, 78, 5, 21, 12, 58, 19, 41, 72, 77, 10, 83, 84, 27, 65, 79, 63, 49, 2, 50, 37, 54, 7, 68, 57, 75, 76, 18, 71, 15, 17, 48, 53, 28, 56, 32, 6, 62, 64, 59, 61, 14, 44, 47, 29, 30, 70, 52, 22, 25, 60, 82, 73, 45, 39, 80, 69]",23,"23, 4, 66, 43, 3, 40, 8, 1, 16, 46","[8, 62, 45, 68, 16, 83, 29, -1, 0, 66, 13, 17, 43, 1, 49, 50, 32, 19, 14, 51, 20, 42, 37, 79, 76, 23, 53, 24, 74, 28, 6, 72, 11, 71, 48, 7, 69, 54, 33, 81, 80, 10, 4, 36, 12, 55, 57, 31, 40, 2, 59, 63, 3, 15, 82, 73, 35, 9, 5, 25, 61, 64, 30, 21, 41, 77, 52, 34, 56, 46, 44, 47, 65, 26, 60, 75, 38, 18, 84, 39, 22, 58, 27, 78, 70, 67]",7.0
